customer,type_c,consumption_c,location_c
Customer219,Class01,center,CIUDAD DE MEXICO
Customer220,Class01,center,CIUDAD DE MEXICO
Customer221,Class01,center,CIUDAD DE MEXICO
Customer222,Class01,center,CIUDAD DE MEXICO
Customer223,Class01,center,CIUDAD DE MEXICO
Customer224,Class01,center,CIUDAD DE MEXICO
Customer225,Class01,center,CIUDAD DE MEXICO
Customer226,Class01,center,CIUDAD DE MEXICO
Customer227,Class01,center,CIUDAD DE MEXICO
Customer228,Class02,center,CIUDAD DE MEXICO
Customer229,Class01,center,CIUDAD DE MEXICO
Customer230,Class01,center,CIUDAD DE MEXICO
Customer231,Class01,center,CIUDAD DE MEXICO
Customer232,Class01,center,CIUDAD DE MEXICO
Customer233,Class01,center,CIUDAD DE MEXICO
Customer234,Class01,center,CIUDAD DE MEXICO
Customer235,Class01,center,CIUDAD DE MEXICO
Customer236,Class01,center,CIUDAD DE MEXICO
Customer237,Class01,center,CIUDAD DE MEXICO
Customer238,Class01,center,CIUDAD DE MEXICO
Customer239,Class01,center,CIUDAD DE MEXICO
Customer240,Class01,center,CIUDAD DE MEXICO
Customer241,Class01,center,CIUDAD DE MEXICO
Customer242,Class01,center,CIUDAD DE MEXICO
Customer243,Class01,center,CIUDAD DE MEXICO
Customer244,Class01,center,CIUDAD DE MEXICO
Customer245,Class01,center,AGUASCALIENTES
Customer246,Class01,center,CIUDAD DE MEXICO
Customer247,Class01,center,CIUDAD DE MEXICO
Customer248,Class01,center,CIUDAD DE MEXICO
Customer249,Class01,center,ESTADO DE MEXICO
Customer250,Class01,center,CIUDAD DE MEXICO
Customer251,Class01,center,CIUDAD DE MEXICO
Customer252,Class01,center,CIUDAD DE MEXICO
Customer253,Class01,center,CIUDAD DE MEXICO
Customer254,Class01,center,CIUDAD DE MEXICO
Customer255,Class01,center,CIUDAD DE MEXICO
Customer256,Class01,center,DISTRITO FEDERAL
Customer257,Class01,center,CIUDAD DE MEXICO
Customer258,Class01,center,CIUDAD DE MEXICO
Customer259,Class01,center,CIUDAD DE MEXICO
Customer260,Class01,center,ESTADO DE MEXICO
Customer261,Class01,center,GUERRERO
Customer262,Class01,center,ESTADO DE MEXICO
Customer263,Class01,center,CIUDAD DE MEXICO
Customer264,Class01,center,ESTADO DE MEXICO
Customer265,Class01,south,VERACRUZ
Customer266,Class01,center,CIUDAD DE MEXICO
Customer267,Class01,center,PUEBLA
Customer268,Class01,center,CIUDAD DE MEXICO
Customer269,Class01,center,CIUDAD DE MEXICO
Customer270,Class01,center,CIUDAD DE MEXICO
Customer271,Class01,center,CIUDAD DE MEXICO
Customer272,Class01,center,ESTADO DE MEXICO
Customer273,Class01,center,CIUDAD DE MEXICO
Customer274,Class01,center,MICHOACAN
Customer275,Class01,center,PUEBLA
Customer276,Class01,center,ESTADO DE MEXICO
Customer277,Class01,center,CIUDAD DE MEXICO
Customer278,Class01,center,CIUDAD DE MEXICO
Customer279,Class02,center,ESTADO DE MEXICO
Customer280,Class01,center,CIUDAD DE MEXICO
Customer281,Class01,center,CIUDAD DE MEXICO
Customer282,Class01,center,CIUDAD DE MEXICO
Customer283,Class01,center,CIUDAD DE MEXICO
Customer284,Class01,center,CIUDAD DE MEXICO
Customer285,Class01,center,ESTADO DE MEXICO
Customer286,Class01,center,CIUDAD DE MEXICO
Customer287,Class01,center,CIUDAD DE MEXICO
Customer288,Class01,center,CIUDAD DE MEXICO
Customer289,Class01,center,CIUDAD DE MEXICO
Customer290,Class01,center,HUEHUETOCA
Customer291,Class01,center,CIUDAD DE MEXICO
Customer292,Class01,center,CIUDAD DE MEXICO
Customer293,Class01,center,CIUDAD DE MEXICO
Customer294,Class01,center,CIUDAD DE MEXICO
