Customer,Class,Kcustomer,Location
Customer267,Class01,Foraneo,PUEBLA
Customer268,Class01,Foraneo,CDMX
Customer269,Class01,Local,CDMX
Customer270,Class01,Local,CDMX
Customer271,Class01,Local,CDMX
Customer272,Class01,Local,EDO MEX
Customer273,Class01,Local,CDMX
Customer274,Class01,Foraneo,MICHOACAN
Customer275,Class01,Local,PUEBLA
Customer276,Class01,Local,EDO MEX
Customer277,Class01,Local,CDMX
Customer278,Class01,Local,CDMX
Customer279,Class02,Local,EDO MEX
Customer280,Class01,Foraneo,CDMX
Customer281,Class01,Foraneo,CDMX
Customer282,Class01,Local,CDMX
Customer283,Class01,Local,CDMX
Customer284,Class01,Local,CDMX
Customer285,Class01,Foraneo,EDO MEX
Customer286,Class01,Foraneo,CDMX
Customer287,Class01,Local,CDMX
Customer288,Class01,Foraneo,CDMX
Customer289,Class01,Local,CDMX
Customer290,Class01,Foraneo,HUEHUETOCA
Customer291,Class01,Foraneo,CDMX
Customer292,Class01,Foraneo,CDMX
Customer293,Class01,Foraneo,CDMX
Customer294,Class01,Foraneo,CDMX
Customer295,Class01,Foraneo,EDO MEX
Customer296,Class01,Foraneo,CDMX
Customer297,Class01,Foraneo,EDO MEX
Customer298,Class01,Local,CDMX
Customer299,Class01,Local,CDMX
Customer300,Class01,Foraneo,CDMX
Customer301,Class01,Local,CDMX
Customer302,Class01,Local,CDMX
Customer303,Class01,Local,CDMX
Customer304,Class01,Local,EDO MEX
Customer305,Class01,Local,CDMX
Customer306,Class01,Foraneo,CDMX
Customer307,Class01,Local,EDO MEX
Customer308,Class01,Foraneo,HIDALGO
Customer309,Class01,Foraneo,CDMX
Customer310,Class01,Local,EDO MEX
Customer311,Class01,Local,CDMX
Customer312,Class01,Foraneo,CDMX
Customer313,Class01,Local,CDMX
Customer314,Class01,Foraneo,EDO MEX
Customer315,Class01,Foraneo,CDMX
Customer316,Class01,Local,CDMX
Customer317,Class01,Foraneo,CDMX
Customer318,Class01,Foraneo,EDO MEX
Customer319,Class01,Local,CDMX
Customer320,Class01,Local,EDO MEX
Customer321,Class01,Local,CDMX
Customer322,Class01,Foraneo,CDMX
Customer323,Class01,Local,CDMX
Customer324,Class01,Local,EDO MEX
Customer325,Class01,Local,TABASCO
Customer326,Class01,Local,CDMX
Customer327,Class01,Local,CDMX
Customer328,Class01,Local,CDMX
Customer329,Class01,Foraneo,YUCATAN
Customer330,Class01,Foraneo,CDMX
Customer331,Class01,Local,CDMX
Customer332,Class01,Local,CDMX
